model	compare	trainAUC	trainCI1	trainCI2	train_threshold	train_sensitivity	train_specificity	train_accuracy	testAUC	testCI1	testCI2	test_threshold	test_sensitivity	test_specificity	test_accuracy
0.6*Lasso+0.4*RF	TB_vs_Cancer	0.967589975504051	0.945436437057935	0.989743513950167	0.602605624599985	0.885057471264368	0.950819672131147	0.912162162162162	0.911111111111111	0.838408380803393	0.983813841418829	0.509633824226937	0.944444444444444	0.76	0.868852459016393
0.7*Lasso+0.3*RF	TB_vs_Cancer	0.967024684379122	0.944668783683362	0.989380585074882	0.639654396135969	0.873563218390805	0.950819672131147	0.905405405405405	0.908888888888889	0.834449519865464	0.983328257912314	0.48521705710031	0.972222222222222	0.76	0.885245901639344
0.8*Lasso+0.2*RF	TB_vs_Cancer	0.965140380629357	0.941856951332801	0.988423809925914	0.689295201109092	0.850574712643678	0.967213114754098	0.898648648648649	0.901111111111111	0.822137030750243	0.980085191471979	0.507510949798971	0.944444444444444	0.76	0.868852459016393
0.9*Lasso+0.1*RF	TB_vs_Cancer	0.962125494629734	0.937065730954105	0.987185258305364	0.733810452370439	0.816091954022989	0.983606557377049	0.885135135135135	0.895555555555556	0.813881886428285	0.977229224682826	0.5308958006667	0.916666666666667	0.76	0.852459016393443
Lasso	TB_vs_Cancer	0.958356887130205	0.931466700651994	0.985247073608417	0.724957495356112	0.839080459770115	0.934426229508197	0.878378378378378	0.888888888888889	0.80022259616436	0.977555181613418	0.547923332286395	0.916666666666667	0.76	0.852459016393443
RF	Infection_vs_Cancer	0.876363848532587	0.836481266412031	0.916246430653142	0.318214801587302	0.873563218390805	0.756345177664975	0.792253521126761	0.817411924119241	0.736882674361234	0.897941173877249	0.20260753968254	0.972222222222222	0.573170731707317	0.694915254237288
0.1*Lasso+0.9*RF	Infection_vs_Cancer	0.905362039792287	0.871415860557506	0.939308219027067	0.29254296258219	0.931034482758621	0.741116751269036	0.799295774647887	0.832317073170732	0.755904656398896	0.908729489942567	0.220996742322799	0.916666666666667	0.634146341463415	0.720338983050847
0.2*Lasso+0.8*RF	Infection_vs_Cancer	0.925199836629908	0.895734009057911	0.954665664201906	0.308781537069781	0.931034482758621	0.771573604060914	0.820422535211268	0.840447154471545	0.767016346397647	0.913877962545443	0.212457863835792	0.944444444444444	0.621951219512195	0.720338983050847
0.3*Lasso+0.7*RF	Infection_vs_Cancer	0.936985821809907	0.910460272622968	0.963511370996846	0.310411333056495	0.919540229885057	0.812182741116751	0.845070422535211	0.846544715447154	0.775514162136481	0.917575268757828	0.20146293981857	0.944444444444444	0.609756097560976	0.711864406779661
0.4*Lasso+0.6*RF	Infection_vs_Cancer	0.947196452535154	0.923580935245878	0.97081196982443	0.322345558547456	0.885057471264368	0.862944162436548	0.869718309859155	0.848577235772358	0.777915073498647	0.919239398046068	0.297286270269236	0.722222222222222	0.817073170731707	0.788135593220339
0.5*Lasso+0.5*RF	Infection_vs_Cancer	0.951280704825252	0.928874196811129	0.973687212839376	0.306411026767071	0.919540229885057	0.847715736040609	0.869718309859155	0.846205962059621	0.774286753957744	0.918125170161497	0.30257277642362	0.694444444444444	0.841463414634146	0.796610169491525
0.6*Lasso+0.4*RF	Infection_vs_Cancer	0.953614563276737	0.931865461063423	0.975363665490051	0.300557055242206	0.919540229885057	0.842639593908629	0.866197183098592	0.839430894308943	0.764109676477302	0.914752112140584	0.249333856805645	0.805555555555556	0.731707317073171	0.754237288135593
0.7*Lasso+0.3*RF	Infection_vs_Cancer	0.952972752202579	0.930932226198032	0.975013278207126	0.294706084325669	0.931034482758621	0.842639593908629	0.869718309859155	0.833672086720867	0.755575836266836	0.911768337174898	0.253172794474282	0.805555555555556	0.74390243902439	0.76271186440678
0.8*Lasso+0.2*RF	Infection_vs_Cancer	0.951164011902678	0.928379721468522	0.973948302336834	0.269032656866946	0.942528735632184	0.812182741116751	0.852112676056338	0.818766937669377	0.73471615081331	0.902817724525444	0.255049008567882	0.777777777777778	0.75609756097561	0.76271186440678
0.9*Lasso+0.1*RF	Infection_vs_Cancer	0.948946846373767	0.925364166604071	0.972529526143464	0.269097306431906	0.942528735632184	0.812182741116751	0.852112676056338	0.806233062330623	0.717962738288442	0.894503386372805	0.263553348924581	0.777777777777778	0.780487804878049	0.779661016949153
Lasso	Infection_vs_Cancer	0.946321255615847	0.921820342805259	0.970822168426435	0.275880615127088	0.919540229885057	0.822335025380711	0.852112676056338	0.795392953929539	0.702332556885696	0.888453350973383	0.238625947042931	0.777777777777778	0.75609756097561	0.76271186440678
SVM	Bacteria_vs_Cancer	0.800718390804598	0.732017487942138	0.869419293667058	0.396902025255043	0.724137931034483	0.8375	0.778443113772455	0.769607843137255	0.657589642933318	0.881626043341192	0.468385350745174	0.638888888888889	0.882352941176471	0.757142857142857
0.1*Lasso+0.9*SVM	Bacteria_vs_Cancer	0.827586206896552	0.764762815699427	0.890409598093677	0.382252133622677	0.71264367816092	0.8625	0.784431137724551	0.776960784313726	0.667086757068056	0.886834811559395	0.379270576687627	0.611111111111111	0.911764705882353	0.757142857142857
0.2*Lasso+0.8*SVM	Bacteria_vs_Cancer	0.848850574712644	0.791392954987241	0.906308194438046	0.380457431946881	0.71264367816092	0.875	0.790419161676647	0.792483660130719	0.686091155609206	0.898876164652232	0.426514214655699	0.638888888888889	0.911764705882353	0.771428571428571
0.3*Lasso+0.7*SVM	Bacteria_vs_Cancer	0.866522988505747	0.813693544108071	0.919352432903423	0.375819472450298	0.701149425287356	0.9	0.796407185628742	0.795751633986928	0.690494289206243	0.901008978767614	0.513216812767965	0.694444444444444	0.852941176470588	0.771428571428571
0.4*Lasso+0.6*SVM	Bacteria_vs_Cancer	0.885488505747126	0.837682536866406	0.933294474627847	0.452695710040568	0.770114942528736	0.85	0.808383233532934	0.803921568627451	0.700636581541954	0.907206555712948	0.494185613566783	0.694444444444444	0.882352941176471	0.785714285714286
0.5*Lasso+0.5*SVM	Bacteria_vs_Cancer	0.89698275862069	0.852327420901351	0.941638096340028	0.470540370770318	0.770114942528736	0.85	0.808383233532934	0.809640522875817	0.708455971724859	0.910825074026775	0.454919811512256	0.666666666666667	0.882352941176471	0.771428571428571
0.6*Lasso+0.4*SVM	Bacteria_vs_Cancer	0.90632183908046	0.864279362264061	0.948364315896859	0.505436530684394	0.839080459770115	0.8	0.820359281437126	0.805555555555556	0.704276859667131	0.90683425144398	0.50530111532572	0.75	0.764705882352941	0.757142857142857
0.7*Lasso+0.3*SVM	Bacteria_vs_Cancer	0.913362068965517	0.873444612560266	0.953279525370769	0.519737092754127	0.885057471264368	0.775	0.832335329341317	0.808006535947712	0.707735389974726	0.908277681920699	0.542209855331508	0.75	0.735294117647059	0.742857142857143
0.8*Lasso+0.2*SVM	Bacteria_vs_Cancer	0.918247126436782	0.879703890923074	0.956790361950489	0.540818496875214	0.896551724137931	0.7625	0.832335329341317	0.80718954248366	0.706561715275083	0.907817369692237	0.626534913952215	0.833333333333333	0.647058823529412	0.742857142857143
0.9*Lasso+0.1*SVM	Bacteria_vs_Cancer	0.920545977011494	0.882616625455445	0.958475328567544	0.45364122978999	0.816091954022989	0.85	0.832335329341317	0.804738562091503	0.702724436570412	0.906752687612594	0.651330184938262	0.888888888888889	0.617647058823529	0.757142857142857
Lasso	Bacteria_vs_Cancer	0.922126436781609	0.884418934481701	0.959833939081518	0.42777461553025	0.793103448275862	0.9	0.844311377245509	0.801470588235294	0.698735350766779	0.90420582570381	0.646424469265823	0.888888888888889	0.617647058823529	0.757142857142857
SVM	Fungi_vs_Cancer	0.826149425287356	0.760415138633641	0.891883711941071	0.650028301964155	0.724137931034483	0.767857142857143	0.741258741258741	0.67512077294686	0.535363321095073	0.814878224798647	0.647514732650349	0.5	0.869565217391304	0.644067796610169
0.1*Lasso+0.9*SVM	Fungi_vs_Cancer	0.897988505747126	0.850102881197469	0.945874130296783	0.667153973492928	0.747126436781609	0.928571428571429	0.818181818181818	0.70048309178744	0.565556902298722	0.835409281276157	0.655235771680937	0.5	0.91304347826087	0.661016949152542
0.2*Lasso+0.8*SVM	Fungi_vs_Cancer	0.944786535303777	0.911978816815132	0.977594253792421	0.619275373807728	0.839080459770115	0.964285714285714	0.888111888111888	0.733091787439614	0.603181273254197	0.86300230162503	0.6771896629367	0.472222222222222	0.956521739130435	0.661016949152542
0.3*Lasso+0.7*SVM	Fungi_vs_Cancer	0.980500821018062	0.963975564815664	0.997026077220461	0.610604634461799	0.873563218390805	1	0.923076923076923	0.758454106280193	0.632842354039302	0.884065858521085	0.52089228950051	0.694444444444444	0.782608695652174	0.728813559322034
0.4*Lasso+0.6*SVM	Fungi_vs_Cancer	0.998152709359606	0.995241971460323	1	0.542187949262445	0.96551724137931	1	0.979020979020979	0.780193236714976	0.658535255304745	0.901851218125206	0.499154341754547	0.694444444444444	0.826086956521739	0.745762711864407
0.5*Lasso+0.5*SVM	Fungi_vs_Cancer	1	1	1	0.528504745745141	1	1	1	0.792270531400966	0.672876040244433	0.911665022557499	0.420271781878458	0.777777777777778	0.739130434782609	0.76271186440678
0.6*Lasso+0.4*SVM	Fungi_vs_Cancer	1	1	1	0.547747339647717	1	1	1	0.804347826086957	0.687757891111067	0.920937761062846	0.675021645753122	0.638888888888889	0.869565217391304	0.728813559322034
0.7*Lasso+0.3*SVM	Fungi_vs_Cancer	1	1	1	0.538837684162784	1	1	1	0.806763285024155	0.691818145602133	0.921708424446176	0.267979792513559	0.833333333333333	0.695652173913043	0.779661016949153
0.8*Lasso+0.2*SVM	Fungi_vs_Cancer	1	1	1	0.503586628486514	1	1	1	0.823671497584541	0.712882805896926	0.934460189272156	0.674717721548428	0.722222222222222	0.826086956521739	0.76271186440678
0.9*Lasso+0.1*SVM	Fungi_vs_Cancer	1	1	1	0.475821085031655	1	1	1	0.830917874396135	0.722515644337216	0.939320104455055	0.679726065402739	0.722222222222222	0.826086956521739	0.76271186440678
Lasso	Fungi_vs_Cancer	1	1	1	0.451389044608756	1	1	1	0.830917874396135	0.7210318557681	0.94080389302417	0.732112499751212	0.694444444444444	0.826086956521739	0.745762711864407
SVM	TB_vs_Cancer	0.912568306010929	0.868532299995159	0.956604312026698	0.510420933600322	0.896551724137931	0.786885245901639	0.851351351351351	0.715555555555556	0.588369597533733	0.842741513577379	0.85069705315918	0.472222222222222	0.92	0.655737704918033
0.1*Lasso+0.9*SVM	TB_vs_Cancer	0.931976634633503	0.893825668672985	0.97012760059402	0.611452111261925	0.827586206896552	0.918032786885246	0.864864864864865	0.772222222222222	0.656235305108172	0.888209139336273	0.807095575217419	0.555555555555556	0.92	0.704918032786885
0.2*Lasso+0.8*SVM	TB_vs_Cancer	0.946108912756736	0.912186595927293	0.98003122958618	0.592525828056239	0.885057471264368	0.950819672131147	0.912162162162162	0.795555555555556	0.685432455979771	0.90567865513134	0.818842251093973	0.527777777777778	0.96	0.704918032786885
0.3*Lasso+0.7*SVM	TB_vs_Cancer	0.952703975880912	0.92120802106031	0.984199930701514	0.591164504303046	0.896551724137931	0.967213114754098	0.925675675675676	0.844444444444444	0.747408540740166	0.941480348148723	0.675528652726452	0.722222222222222	0.88	0.786885245901639
0.4*Lasso+0.6*SVM	TB_vs_Cancer	0.959299039005088	0.930984550189486	0.987613527820689	0.601631166193795	0.885057471264368	0.967213114754098	0.918918918918919	0.851111111111111	0.754874272410857	0.947347949811365	0.697804838816619	0.722222222222222	0.88	0.786885245901639
0.5*Lasso+0.5*SVM	TB_vs_Cancer	0.963444507254569	0.93745454365745	0.989434470851689	0.604245448613631	0.896551724137931	0.950819672131147	0.918918918918919	0.878888888888889	0.790710676128649	0.967067101649129	0.566195346524215	0.888888888888889	0.76	0.836065573770492
0.6*Lasso+0.4*SVM	TB_vs_Cancer	0.967213114754098	0.943561819525389	0.990864409982807	0.593547525691171	0.896551724137931	0.934426229508197	0.912162162162162	0.887777777777778	0.802317705422647	0.973237850132908	0.513625511521844	0.916666666666667	0.76	0.852459016393443
0.7*Lasso+0.3*SVM	TB_vs_Cancer	0.966836254004145	0.943636410697341	0.99003609731095	0.719390643983806	0.827586206896552	0.983606557377049	0.891891891891892	0.893333333333333	0.809108813470519	0.977557853196148	0.517275421874437	0.916666666666667	0.76	0.852459016393443
0.8*Lasso+0.2*SVM	TB_vs_Cancer	0.965140380629357	0.941009454584681	0.989271306674034	0.707081018576001	0.850574712643678	0.983606557377049	0.905405405405405	0.89	0.803215488034587	0.976784511965413	0.429067428202706	0.972222222222222	0.72	0.868852459016393
0.9*Lasso+0.1*SVM	TB_vs_Cancer	0.962125494629734	0.936714271180567	0.987536718078901	0.736973516355679	0.827586206896552	0.983606557377049	0.891891891891892	0.884444444444444	0.793890273119444	0.974998615769445	0.541945574981098	0.916666666666667	0.76	0.852459016393443
Lasso	TB_vs_Cancer	0.958356887130205	0.931466700651994	0.985247073608417	0.724957495356112	0.839080459770115	0.934426229508197	0.878378378378378	0.888888888888889	0.80022259616436	0.977555181613418	0.547923332286395	0.916666666666667	0.76	0.852459016393443
SVM	Infection_vs_Cancer	0.831378726880215	0.779564576362618	0.883192877397812	0.343210568611441	0.758620689655172	0.817258883248731	0.799295774647887	0.60619918699187	0.492766733107405	0.719631640876335	0.196298331094774	0.555555555555556	0.670731707317073	0.635593220338983
0.1*Lasso+0.9*SVM	Infection_vs_Cancer	0.866503296575063	0.822168726088132	0.910837867061994	0.349395629419292	0.781609195402299	0.857868020304569	0.834507042253521	0.660907859078591	0.550984695789367	0.770831022367814	0.179518215167055	0.694444444444444	0.609756097560976	0.635593220338983
0.2*Lasso+0.8*SVM	Infection_vs_Cancer	0.892409125386545	0.853657102434468	0.931161148338623	0.310270462600201	0.850574712643678	0.82741116751269	0.834507042253521	0.698848238482385	0.589532382297872	0.808164094666898	0.20400094942338	0.694444444444444	0.719512195121951	0.711864406779661
0.3*Lasso+0.7*SVM	Infection_vs_Cancer	0.91522259174981	0.881671408253696	0.948773775245925	0.33242365010917	0.862068965517241	0.868020304568528	0.866197183098592	0.719512195121951	0.611281886115618	0.827742504128284	0.289995840124691	0.583333333333333	0.865853658536585	0.779661016949153
0.4*Lasso+0.6*SVM	Infection_vs_Cancer	0.933601727055254	0.904766465599912	0.962436988510597	0.293327703548973	0.919540229885057	0.83756345177665	0.862676056338028	0.740514905149051	0.635437867877449	0.845591942420654	0.231362568941199	0.694444444444444	0.780487804878049	0.754237288135593
0.5*Lasso+0.5*SVM	Infection_vs_Cancer	0.94667133438357	0.92170492823002	0.97163774053712	0.371852868917555	0.850574712643678	0.913705583756345	0.894366197183099	0.76050135501355	0.658910114645131	0.862092595381969	0.296211207741112	0.638888888888889	0.853658536585366	0.788135593220339
0.6*Lasso+0.4*SVM	Infection_vs_Cancer	0.953847949121886	0.931017608458946	0.976678289784826	0.381512819708682	0.850574712643678	0.928934010152284	0.904929577464789	0.773373983739837	0.673560206212704	0.873187761266971	0.334150381794033	0.638888888888889	0.865853658536585	0.796610169491525
0.7*Lasso+0.3*SVM	Infection_vs_Cancer	0.957582122644262	0.936275123082113	0.97888912220641	0.280394561295152	0.942528735632184	0.817258883248731	0.855633802816901	0.787940379403794	0.691645166759329	0.884235592048259	0.334769300785626	0.638888888888889	0.878048780487805	0.805084745762712
0.8*Lasso+0.2*SVM	Infection_vs_Cancer	0.955831728805648	0.934217027268807	0.977446430342489	0.267475793299509	0.954022988505747	0.812182741116751	0.855633802816901	0.7920054200542	0.697307365739304	0.886703474369097	0.219092006178114	0.805555555555556	0.731707317073171	0.754237288135593
0.9*Lasso+0.1*SVM	Infection_vs_Cancer	0.952505980512282	0.929952982437258	0.975058978587306	0.268183121393661	0.942528735632184	0.822335025380711	0.859154929577465	0.795392953929539	0.701639095067087	0.889146812791991	0.219379930277898	0.805555555555556	0.74390243902439	0.76271186440678
Lasso	Infection_vs_Cancer	0.946321255615847	0.921820342805259	0.970822168426435	0.275880615127088	0.919540229885057	0.822335025380711	0.852112676056338	0.795392953929539	0.702332556885696	0.888453350973383	0.238625947042931	0.777777777777778	0.75609756097561	0.76271186440678
XGBoost	Bacteria_vs_Cancer	0.871120689655172	0.81816584971309	0.924075529597255	0.49421768784523	0.804597701149425	0.825	0.81437125748503	0.659722222222222	0.532611496283082	0.786832948161363	0.574377059936523	0.694444444444444	0.617647058823529	0.657142857142857
0.1*Lasso+0.9*XGBoost	Bacteria_vs_Cancer	0.916379310344828	0.876607619103487	0.956151001586169	0.480975992026258	0.827586206896552	0.8625	0.844311377245509	0.726307189542484	0.606651231696654	0.845963147388313	0.599667191921201	0.888888888888889	0.558823529411765	0.728571428571429
0.2*Lasso+0.8*XGBoost	Bacteria_vs_Cancer	0.943390804597701	0.911369868397304	0.975411740798098	0.462806995675941	0.839080459770115	0.95	0.892215568862275	0.732843137254902	0.6159679513095	0.849718323200304	0.602866628882653	0.861111111111111	0.529411764705882	0.7
0.3*Lasso+0.7*XGBoost	Bacteria_vs_Cancer	0.950287356321839	0.920886464901313	0.979688247742365	0.478679723963946	0.885057471264368	0.9125	0.898203592814371	0.758986928104575	0.646063702587527	0.871910153621624	0.469436685650555	0.666666666666667	0.823529411764706	0.742857142857143
0.4*Lasso+0.6*XGBoost	Bacteria_vs_Cancer	0.949568965517241	0.920452247160343	0.97868568387414	0.467752066449239	0.850574712643678	0.925	0.88622754491018	0.773692810457516	0.663552401680318	0.883833219234715	0.44171859458918	0.611111111111111	0.882352941176471	0.742857142857143
0.5*Lasso+0.5*XGBoost	Bacteria_vs_Cancer	0.941522988505747	0.909809566333633	0.973236410677861	0.457449273981119	0.816091954022989	0.925	0.868263473053892	0.773692810457516	0.663721277306419	0.883664343608614	0.414689739990168	0.611111111111111	0.882352941176471	0.742857142857143
0.6*Lasso+0.4*XGBoost	Bacteria_vs_Cancer	0.937212643678161	0.904123255582114	0.970302031774208	0.442086821963764	0.804597701149425	0.925	0.862275449101796	0.782679738562091	0.675215939225547	0.890143537898636	0.387660885391156	0.583333333333333	0.882352941176471	0.728571428571429
0.7*Lasso+0.3*XGBoost	Bacteria_vs_Cancer	0.934051724137931	0.900006794519937	0.968096653755925	0.439696157191143	0.804597701149425	0.9125	0.856287425149701	0.795751633986928	0.691528488407147	0.899974779566709	0.624065825582065	0.888888888888889	0.588235294117647	0.742857142857143
0.8*Lasso+0.2*XGBoost	Bacteria_vs_Cancer	0.929022988505747	0.893517645201769	0.964528331809725	0.448016553930114	0.804597701149425	0.9	0.850299401197605	0.799836601307189	0.696765721417319	0.90290748119706	0.628410881006357	0.888888888888889	0.617647058823529	0.757142857142857
0.9*Lasso+0.1*XGBoost	Bacteria_vs_Cancer	0.925431034482759	0.88874678511636	0.962115283849157	0.423774925988836	0.781609195402299	0.9125	0.844311377245509	0.800653594771242	0.697686130005068	0.903621059537416	0.6380931673168	0.888888888888889	0.617647058823529	0.757142857142857
Lasso	Bacteria_vs_Cancer	0.922126436781609	0.884418934481701	0.959833939081518	0.42777461553025	0.793103448275862	0.9	0.844311377245509	0.801470588235294	0.698735350766779	0.90420582570381	0.646424469265823	0.888888888888889	0.617647058823529	0.757142857142857
XGBoost	Fungi_vs_Cancer	0.903530377668309	0.849175463820162	0.957885291516456	0.577595695853233	0.793103448275862	0.928571428571429	0.846153846153846	0.631038647342995	0.483030331372771	0.779046963313219	0.589987516403198	0.722222222222222	0.608695652173913	0.677966101694915
0.1*Lasso+0.9*XGBoost	Fungi_vs_Cancer	0.974753694581281	0.955672339337495	0.993835049825067	0.496153827989056	0.942528735632184	0.892857142857143	0.923076923076923	0.772946859903382	0.652458605521141	0.893435114285622	0.576192299385792	0.666666666666667	0.826086956521739	0.728813559322034
0.2*Lasso+0.8*XGBoost	Fungi_vs_Cancer	0.995484400656814	0.989816717406794	1	0.526823684291576	0.96551724137931	0.982142857142857	0.972027972027972	0.826086956521739	0.716318743772071	0.935855169271407	0.517618601626888	0.833333333333333	0.826086956521739	0.830508474576271
0.3*Lasso+0.7*XGBoost	Fungi_vs_Cancer	1	1	1	0.496305219096151	1	1	1	0.823671497584541	0.716452350838303	0.930890644330779	0.453827897165136	0.861111111111111	0.695652173913043	0.796610169491525
0.4*Lasso+0.6*XGBoost	Fungi_vs_Cancer	1	1	1	0.501858500350104	1	1	1	0.835748792270531	0.73334050070259	0.938157083838473	0.394516030390763	0.861111111111111	0.695652173913043	0.796610169491525
