Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
20210421MCX013	0.00729494691965737	0	0.00756723573769591	0	0	0.185636706991196	0.00147426055459477	0	0	0	0.064686111198236	0	0	0.233203144608663	0.0586229499226114	0	0	0.034014989118211	0.00448999947705835	0	0.0890817559473961	0.31392789952468	0.00900000000000001	0.294154291235368	0.999255842624135
20211004MCX022	0.128085441300453	0	0.0060413040046757	0	0.0794483299834189	0.299595282109865	0.0040128392541039	0	0.00488714855223242	0	0.0556408664021305	0	0.0635798768206019	0.0654240768443068	0	0	0	0.0119159949661955	0.00438526802187173	0	0	0.276983571740145	0.218	0.0730867776118046	1.09687918797921
20211004MCX024	0.00784750601333647	0.00770694507449293	0	0.0216880206652877	0.00744158693929328	0.230995988167777	0.0172603925637318	0	0	0	0.068420464487787	0	0.0318695830544651	0.520332046894574	0.00401664830644015	0.0371925238901541	0.0059666409616023	0	0.000893828237123188	0	0.0141255693886113	0.0242422553553238	0.039	0.177771529992048	1.06640640408444
20211215MCX012	0.0125960844882623	0	0.0143381504523104	0	0	0.192352610185857	0	0	0	0	0.079388643569759	0	0.116415592905186	0.0168103075309299	0	0	0	0.0862231390861589	0.0106983890941425	0	0.219812758524806	0.251364324162587	0.101	0.12236280173184	1.07612433896054
20220112MCX014	0.0573447113865302	0	0.00507111014044912	0	0.0201730557288982	0.0303625743116718	0.0133535067342871	0	0	0	0.0666017872077455	0	0	0.0250559945392719	0.000726871333975705	0	0	0.00499752388148455	0	0.035113247798906	0	0.74119961693678	0	0.462758114090192	1.02016541093839
20210427MCX009	0.0134715279234529	0	0	0	0	0.432710565572735	0.0547414954772342	0	0	0	0.030364671867706	0	0.00905737504696793	0.0932197492672548	0.00199898949694933	0.299154524072473	0	0.0151849318544225	0.0235215489502859	0	0.0131019725039708	0.0134726479665469	0.004	0.328074779096394	0.952099753174833
20210727MCX015	0.0608705108799411	0	0.0111954080562596	0	0	0.119682248882266	0.0192739010770949	0	0.00385530644415591	0	0.0859513145690946	0	0	0.069376350290981	0	0.0154529040943465	0	0	0	0.0297778510384045	0.0501722311931514	0.534391973474305	0	0.43179868399671	0.955819885239336
20210903MCX010	0.0415770230098761	0	0.00751629943551281	0	0.00341077884002447	0.105238191239513	0.0185687307946137	0	0	0	0.0331277035510018	0	0.0431404997622094	0.399602836650706	0.0879454235324132	0.0794647434008281	0	0	0.0474002155770861	0	0.0344896568437826	0.0985178973624333	0.028	0.203711733331931	1.0352640582122
20211028MCX025	0.0839347450387534	0	0.0178545993714033	0	0	0.285287742313047	0.00208513160292192	0	0.0138556422152874	0	0	0.0329268575611779	0.112963380888978	0.126655976795567	0.0789937412361222	0.115857206696422	0.0165747888033901	0	0.0555237041014597	0	0.012288678450512	0.0451978049249574	0.014	0.254655656399715	0.978092937697863
20210821MCX014	0.0591900373515464	0	0.0058972053986532	0	0.0646913835120968	0.145267766139922	0	0	0	0	0.0823533588191721	0	0	0.14348056596862	0	0	0	0.0190637315818637	0	0.080362741056473	0.00662823600965291	0.393064974162	0.015	0.243162552467207	1.03933358906123
20211204MCX005	0.0248785796544778	0	0.00487408968160135	0	0	0.10851750800185	0.0313013308826779	0	0	0	0.0708216022181811	0	0	0.124794329334721	0.0103117381100857	0	0	0.0147238401016856	0	0.0344432356908628	0.126997408530414	0.448336337793442	0.002	0.368020377230713	0.982068337826163
20210609MCX005	0.0353045914276202	0	0.00768196576629205	0	0.00946535649351801	0.229730497088014	0.0365046613568369	0	0.0156494311181509	0	0.0539603676206577	0	0	0.289191067327736	0.0038038965946217	0.0580300076270307	0.0022391709837557	0	0	0.000216956741491433	0.0129946714217222	0.245227358432552	0.003	0.339214583987746	0.962027640122417
20210703MCX010	0.0927980188008825	0	0.00461566495198869	0	0	0.0732217524418779	0.00998463207608611	0	0	0	0.057418188573431	0	0	0.0681281282556088	0	0.00768937519774765	0	0.00404595705739991	0	0.0233581070222496	0.0468286233185552	0.611911552304173	0	0.424497836323534	0.993565234494301
20210705MCX013	0.0112507903680872	0	0	0	0	0.0422649466574291	0.0166111570151408	0	0.00669042046616519	0	0.065706807674042	0	0	0	0	0	0	0.0120006707995548	0	0.0303999519124148	0	0.815075255107166	0.001	0.379185121911406	1.14288296950108
20210726MCX012	0.0595516880343239	0	0	0	0.0173532357497099	0.14118597663165	0.0156439181184261	0	0	0	0.0807136768759407	0	0.0351216862623303	0.390319357999845	0.00257856800956076	0.0320335187582063	0.00170429511119955	0	0	0	0.00497541268809069	0.218818665760716	0.01	0.2859823615545	1.00209134642431
